contract(Gate.io),address,time,,,value
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x9f369c197e36bde9997229b70d81d4cf8f2792cb,2024/1/29,25:35.0,UTC,9.88E+15
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xa206a21868563604e45160611815768af9bc9015,2024/1/29,06:35.0,UTC,1.63E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xb1246d486a7b752a7ec4b122b94664d256e6bf6b,2024/1/29,20:11.0,UTC,9.96E+15
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xb133838e2ad672dd08ef36c5fe3bfb7131acf432,2024/1/29,51:35.0,UTC,1.73E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xb30f73810c193e9a7f562364af7bb65c25416a86,2024/1/29,19:35.0,UTC,1.53E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xbd8b60c7585c4cd4c9679b6eb7b53f4ec7dcaa5c,2024/1/29,56:23.0,UTC,1.01E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xc624134b4ee3e6c6743d7792cd2ddc4d927f4194,2024/1/29,38:23.0,UTC,1.84E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xc6c72879399fa62711d5323808da7bb43389f975,2024/1/29,24:47.0,UTC,1.61E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xc8ff61d5c4212aba866b70e0e36b20dd4e28a6dc,2024/1/29,07:11.0,UTC,1.88E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xce36f15a8d76cb9b60895432d4afb7f2830761bd,2024/1/29,14:35.0,UTC,1.36E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xd3ec5bf7900c93dc1dd0ebba863bc88b96f37823,2024/1/29,22:35.0,UTC,1.22E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xd71c64997334fd5d289babadf4a13124ad545d95,2024/1/29,10:23.0,UTC,1.29E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xdda50f7cd2a22179c0b3f3f4db3848c13c1ee15f,2024/1/29,50:23.0,UTC,1.75E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xdfd7de3d5df5e9bf914cef5ca4c90389752409bb,2024/1/29,23:11.0,UTC,1.35E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xe7d727e62b4773e44c1847005edb36402be015d8,2024/1/29,46:23.0,UTC,1.09E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xf02a743669738e78f88bf0cdda647e6238d8c63e,2024/1/29,31:11.0,UTC,1.84E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xf1415e17be2d60ef0d0d9be3d42e02dbf4574253,2024/1/29,24:23.0,UTC,1.53E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xf3c233f1a7a83324e62220aa22d73fef6f3665ae,2024/1/29,02:47.0,UTC,9.56E+15
